"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
molde-silicona-porta-velas-corazon-decoracion-premium-multiuso-si3k8;"Molde Silicona Porta Velas Corazón - Decoración Premium";;;;;;;;7,500.00;7,000.00;0.10;4.50;6.00;2.50;35;"Porta Velas Corazon";;SI;NO;;"molde decoración cemento, molde porta vela industrial, molde porta velas cemento, molde porta velas corazón, molde porta velas resina, molde porta velas yeso, molde regalería boda, molde resina epoxi corazón, molde san valentín";"Molde Silicona Porta Velas Corazón Multiuso | Advance Coat";"? Molde silicona porta velas corazón multiuso: resina, yeso, cemento. Ideal para regalería, decoración industrial y souvenirs premium.";"Advance Coat";SI;;;;0.00
molde-silicona-mini-mariposas-aros-dijes-y-charms-para-resina-y7soh;"Molde Silicona Mini Mariposas - Aros, Dijes y Charms";;;;;;;;6,500.00;6,000.00;0.10;7.00;8.50;0.50;50;"Mini Mariposas";;SI;NO;;"aros mariposa resina, dijes mini resina, molde aros mariposas, molde bijouterie femenina, molde charms mariposa, molde dijes mariposa, molde mariposas resina, molde mini resina epoxi, molde silicona mariposa";"Molde Silicona Mini Mariposas Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-caja-alhajero-producto-premium-multiuso-para-resina-f65vu;"Molde Silicona Caja Alhajero - Caramelera";;;;;;;;13,000.00;12,500.00;0.10;10.00;8.20;8.20;10;"Caja Alhajero";;SI;NO;;"molde alhajero resina, molde bombonera resina, molde caja con tapa, molde caja resina, molde caramelera silicona, molde joyero, molde silicona para resina epoxi, molde silicona premium, molde souvenirs bodas, producto premium resina, resina epoxi";"Molde Silicona Caja Alhajero Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-flor-tulipan-3d-resina-epoxi-g35jp;"Molde Silicona Tulipán 3D - Flores Para Llaveros";;;;;;;;5,500.00;5,000.00;0.10;4.00;2.50;1.50;20;"Flor Tulipan 3d";;SI;NO;;"advance coat, bijouterie floral, molde aros flores, molde de flor, molde dijes flor, molde flexible, molde manualidades, molde silicona, molde silicona 3d, molde silicona para resina, molde silicona para resina epoxi, molde tulipán 3d, molde tulipán argentina, moldes silicona, resina transparente, silicona";"Molde Silicona Tulipán 3D Para Resina | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-angel-con-corazon-vela-resina-epoxi-yeso-11cr3;"Molde Silicona Ángel Con Corazón";;;;;;;;7,250.00;6,000.00;0.20;7.00;6.50;2.00;11;"Molde Angel";;SI;NO;;"molde ángel corazón, molde ángel guardián, molde ángel resina, molde comunión artesanal, molde religioso resina, molde resina epoxi, molde resina epoxi ángel, molde souvenir bautismo, molde vela ángel, molde vela decorativa, molde yeso ángel, resina epoxi";"Molde Silicona Ángel Corazón Para Resina y Velas | Advance Coat";;"Advance Coat";SI;;;;0.00
molde-silicona-de-3-mini-jarritas-vertedor-resina-epoxi-wfn2q;"Molde Silicona de 3 Mini Jarritas Vertedor Resina Epoxi";;;;;;;;8,000.00;7,500.00;0.05;4.00;6.00;2.00;10;"X3 Mini Jarritas";;NO;NO;;"molde manualidades, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes silicona, resina transparente, silicona, Vertedor";"Molde Silicona 3 Mini Jarritas Vertedor Resina Epoxi Advance Coat";;;SI;;;;0.00
molde-de-domino-para-resina-epoxi-1m3i9;"Molde de Dominó Para Resina Epoxi";"Moldes de Silicona ";;;;;;;15,000.00;13,000.00;0.40;5.50;14.00;14.00;7;"Molde Dominó Resina Epoxi";;SI;NO;;"domino, molde domino resina epoxi, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes silicona, silicona";;;"Advance Coat";SI;;;;
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;"Resina Epoxi Cristal - Para Llaveros, Dijes y Aros";"Resinas Epoxi > Resina Epoxi Cristal";"Presentación ";150g;;;;;12,500.00;12,000.00;0.20;3.00;4.00;4.00;;"Resina Epoxi 150g";;SI;NO;;"1, 150g, 1kg, 300g, 450g, 5kg, 750g, advance coat, argentina, buenos aires, comprar online argentina, comprar resina online, donde comprar resina, envio argentina, resina advance coat, resina alta calidad, resina argentina, resina argentina envio, resina cristal, resina epoxi, resina epoxi 3kg, resina epoxi cristal, resina manualidades argentina, resina para accesorios, resina para anillos, resina para dijes, resina para emprender, resina para hacer accesorios, resina para llaveros, resina para mesas, resina profesional, resina sin burbujas, resina transparente";"Resina Epoxi Cristal - Conseguí La Mejor Resina Con Envío";"Utiliza la mejor resina del país, es el momento de trabajar con los mejores materiales, conseguí todo junto en un mismo lugar ";"Advance Coat";SI;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";300g;;;;;22,500.00;22,000.00;0.45;3.00;4.00;4.00;;"Resina Epoxi 300g";;;;;;;;;;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";450g;;;;;32,000.00;30,000.00;0.45;3.00;4.00;4.00;;"Resina Epoxi 450g";;;;;;;;;;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";750g;;;;;45,000.00;;0.82;3.00;4.00;4.00;;"Resina Epoxi 750g";;;;;;;;;;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";1kg;;;;;65,000.00;60,000.00;1.10;3.00;4.00;4.00;;"Resina Epoxi 1kg";;;;;;;;;;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";1,5kg;;;;;85,000.00;;1.60;3.00;4.00;4.00;;"Resina Epoxi 1,5kg";;;;;;;;;;;;;0.00
resina-epoxi-cristal-para-llaveros-dijes-y-aros-1cs7o;;;"Presentación ";3kg;;;;;170,000.00;165,000.00;3.10;3.00;4.00;4.00;;"Resina Epoxi 3kg";;;;;;;;;;;;;0.00
molde-silicona-lapicera-lapiceras-unicas-copia-od422;"Molde Silicona Lapicera Ovalada - Producto Premium";"Moldes de Silicona ";;;;;;;6,000.00;5,500.00;0.04;1.00;1.00;1.00;99;"Molde Lapicera ovalada";;SI;NO;;"argentina, boligrafo, buenos aires, comprar moldes argentina, comprar online argentina, envio argentina, escuela, formas, lapicera, lapiceras corporativas, lapiceras personalizadas, lapiceras regalo, lapiceras resina, molde acabado brillante, molde alta calidad, molde duradero, molde flexible, molde lapicera, molde manualidades, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina, silicona";"Molde Silicona Lapicera Ovalada Para Resina | Advance Coat";;"Advance Coat";SI;;;;
lampara-uv-led-6w-secado-rapido-profesional-copia-27ja2;"Combo Resina UV + Lámpara LED 6W - Empezá a Trabajar UV Hoy";"Combos > Combos iniciales, Combos > Combos para hacer llaveros, Combos > Combos para hacer dijes, Combos > Combos de herramientas, Combos > Otros combos, Resinas Epoxi > Resina UV, Extras Para Resina, Arma Tu Propia Funda  > Resinas Epoxi Para Fundas";;;;;;;32,500.00;30,000.00;0.20;1.00;1.00;4.00;10;"resina uv + lampara";;SI;NO;;"accesorios para emprender, accesorios resina, advance coat, argentina, buenos aires, comprar online argentina, envio argentina, herramientas profesionales, herramientas resina epoxi, insumos manualidades, lampara, lampara led resina, lampara secado, lampara uv, rapido, resina con lampara, resina epoxi, resina para accesorios, resina para anillos, resina para mesas, resina rapida, resina secado rapido, resina uv, secado, secado rapido, utiles resina";"Combo Resina UV + Lámpara 6W | Advance Coat";"? Combo resina UV + lámpara LED 6W para empezar. Secado en minutos, sin mezclas. Ideal para fundas, aros y dijes pequeños.";"Advance Coat";SI;;;;
molde-de-silicona-aros-modernos-flores-colgantes-formas-color-gris-7qssy;"Molde De Silicona Aros Modernos Flores Colgantes Formas Color Gris";"Moldes de Silicona ";;;;;;;7,500.00;;0.05;0.50;1.00;2.00;1;"ros Modernos Flores Colgantes Formas Color Gris";;SI;NO;;"argentina, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, corazon, corazones, dije, envio argentina, hojas, molde acabado brillante, molde alta calidad, molde collares, molde de corazon, molde de corazones, molde de flor, molde de flores, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina";;;"Advance Coat";SI;;;;
molde-aros-gotas-15d2i;"Molde Silicona Aros Gotas - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;5,000.00;0.05;0.50;1.00;2.00;95;"molde 4 pares gotas";;SI;NO;;"argentina, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, corazon, corazones, dije, envio argentina, hojas, molde acabado brillante, molde alta calidad, molde collares, molde de corazon, molde de corazones, molde de flor, molde de flores, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina";"Molde Silicona Aros Gotas | Resina Epoxi | Advance Coat";"? Molde Silicona Aros Gotas de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
molde-aros-circulo-1rsl0;"Molde Silicona Aros Círculo - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;5,000.00;0.05;0.50;1.00;2.00;0;"molde 4 pares circulos";;NO;NO;;"argentina, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, corazon, corazones, dije, envio argentina, hojas, molde acabado brillante, molde alta calidad, molde collares, molde de corazon, molde de corazones, molde de flor, molde de flores, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina";"Molde Silicona Aros Círculo | Resina Epoxi | Advance Coat";"? Molde Silicona Aros Círculo de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
molde-aros-corazon-1fr09;"Molde Silicona Aros Corazón - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;5,000.00;0.05;0.50;1.00;2.00;93;"molde 4 pares corazon";;SI;NO;;"argentina, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, corazon, corazon llavero, corazon resina, corazones, dije, envio argentina, hojas, molde acabado brillante, molde alta calidad, molde collares, molde corazon, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina, regalo amor";"Molde Silicona Aros Corazón | Resina Epoxi | Advance Coat";"? Molde Silicona Aros Corazón de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
molde-aros-flores;"Molde Silicona Aros Flores - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;5,000.00;0.05;0.50;1.00;2.00;95;"molde 4 pares flores";;SI;NO;;"argentina, aros, aros artesanales argentina, aros flores, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, dije, envio argentina, flor, florales resina, flores, flores resina, hojas, molde acabado brillante, molde alta calidad, molde collares, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina, primavera resina";"Molde Silicona Aros Flores | Resina Epoxi | Advance Coat";"? Molde Silicona Aros Flores de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
molde-aros-lunas;"Molde Silicona Aros Lunas - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;5,000.00;0.05;0.50;10.00;2.00;96;"molde 4 pares Lunas";;SI;NO;;"argentina, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, buenos aires, colgantes, collar, como hacer aros, comprar moldes argentina, comprar online argentina, dije, envio argentina, estrella, luna, lunas, molde acabado brillante, molde alta calidad, molde collares, molde de estrella, molde de luna, molde duradero, molde flexible, molde manualidades, molde para aros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina";"Molde Silicona Aros Lunas | Resina Epoxi | Advance Coat";"? Molde Silicona Aros Lunas de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
repuesto-catalizador-componente-b-7dm7q;"Repuesto Catalizador Componente B";"Resinas Epoxi > Resina Epoxi Cristal";"CANTIDAD ";"50g Componente B";;;;;7,800.00;;0.10;5.00;5.00;5.00;99;"Componente B 50g";;SI;NO;;"catalizador, componente B, endurecedor, resina epoxi, resina para accesorios, resina para anillos, resina para fundas, resina para mesas";;;"Advance Coat";SI;;;;
repuesto-catalizador-componente-b-7dm7q;;;"CANTIDAD ";"100g Componente B";;;;;14,300.00;;0.15;5.00;5.00;5.00;99;"Componente B 100g";;;;;;;;;;;;;
repuesto-catalizador-componente-b-7dm7q;;;"CANTIDAD ";"250g Componente B";;;;;29,250.00;;0.30;5.00;5.00;5.00;100;"Componente B 250g";;;;;;;;;;;;;
repuesto-catalizador-componente-b-7dm7q;;;"CANTIDAD ";"500g Componente B";;;;;55,250.00;;0.55;5.00;5.00;5.00;100;"Componente B 500g";;;;;;;;;;;;;
repuesto-catalizador-componente-b-7dm7q;;;"CANTIDAD ";"1kg Componente B";;;;;107,250.00;;1.05;5.00;5.00;5.00;100;"Componente B 1kg";;;;;;;;;;;;;
tarro-papel-metalizado-dorado-y-plateado-116yp;"Papel Metalizado Oro y Plata - Decoración Premium Para Resina";"Arma Tu Propia Funda  > Adornos - Charms, Extras Para Resina";Color;Dorado;;;;;12,500.00;10,000.00;0.14;1.00;1.00;1.00;92;TarroOro;;SI;NO;;"8 metalizados, accesorios para emprender, accesorios resina, adorno, adornos, advance coat, argentina, buenos aires, charms, comprar online argentina, dorado, efecto oro, efecto plata, envio argentina, extra, extras, extras para resina, funda, fundas, herramientas profesionales, herramientas resina epoxi, insumos manualidades, metalizado, metalizado resina, oro, papel aluminio, papel de oro, papel metalizado, pigmento metalico, plata, plateado, utiles resina";"Papel Metalizado Oro y Plata Para Resina | Advance Coat";"? Papel metalizado oro y plata para encapsular en resina. Efecto oro premium para tus piezas artesanales.";"Advance Coat";SI;;;;
tarro-papel-metalizado-dorado-y-plateado-116yp;;;Color;Plateado;;;;;12,500.00;10,000.00;0.14;1.00;1.00;1.00;93;TarroPlateado;;;;;;;;;;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;"Caja 24 Glitters - Paleta Completa Profesional Para Resina";"Arma Tu Propia Funda  > Adornos - Charms, Extras Para Resina, Pigmentos";Color;Blanco;;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;0;"caja glitter";;SI;NO;;"advance coat, agregado, argentina, brillantina resina, brillantina resina epoxi, buenos aires, color, colores, comprar online argentina, decoracion brillante, encapsular, envio argentina, escamas, escarcha resina, extras para resina, formas, formitas, glitter, glitter llaveros, glitter manualidades, glitter para llaveros, glitter resina, glitter tornasol, glitters, glitters goma, pigmento, purpurina resina, resina cristal, resina epoxi, resina para accesorios";"Caja 24 Glitters | Advance Coat";"? Caja 24 Glitters: brillo profesional para resina. Pocas dosis, máximo efecto. Envío gratis +$100K. ¡Sumá magia a tus piezas!";"Advance Coat";SI;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;;;Color;Rosa;;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;8;"caja glitter";;;;;;;;;;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;;;Color;"Rojo y Azul";;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;19;"caja glitter";;;;;;;;;;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;;;Color;Violeta;;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;7;"caja glitter";;;;;;;;;;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;;;Color;Turquesa;;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;1;"caja glitter";;;;;;;;;;;;;
caja-de-24-glitters-para-resina-epoxi-vcsru;;;Color;Dorado;;;;;17,500.00;15,000.00;0.25;1.00;1.00;1.00;3;"caja glitter";;;;;;;;;;;;;
trabajos-taller-presencial-1kewz;"Trabajos del Taller Presencial - Capacitación Práctica";"Cursos de Resina Epoxi";;;;;;;1.00;;0.10;5.00;5.00;5.00;;"trabajos taller";;SI;NO;;"aprender resina desde cero, argentina, buenos aires, capacitacion resina, clases resina online, como hacer resina epoxi, comprar online argentina, curso advance coat, curso online manualidades, curso para emprender, curso resina epoxi, envio argentina, trabajos taller, tutorial resina";"Trabajos del Taller Presencial | Advance Coat";;"Advance Coat";SI;;;;
